央视▪全网,#genre#
CCTV-1综合,http://101.71.255.229:6610/zjhs/2/10126/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-2财经,http://101.71.255.229:6610/zjhs/2/10127/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-3综艺,http://101.71.255.229:6610/zjhs/2/10128/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育,http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-6电影,http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-7军事,http://101.71.255.229:6610/zjhs/2/10067/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-8电视,http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-9纪录,http://101.71.255.229:6610/zjhs/2/10133/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-10科教,http://101.71.255.229:6610/zjhs/2/10072/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-11戏曲,http://101.71.255.229:6610/zjhs/2/10085/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-12社会,http://101.71.255.229:6610/zjhs/2/10071/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-13新闻,http://101.71.255.229:6610/zjhs/2/10155/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-14少儿,http://101.71.255.229:6610/zjhs/2/10135/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-15音乐,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-5⁺体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-17农业,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CCTV-4K超清,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229683/index.m3u8
CGTN-国际台,http://live.cgtn.com/1000/prog_index.m3u8
CETV-1教育台,http://39.130.215.168:6610/gitv_live/G_CETV-1-/G_CETV-1-.m3u8
央视▪专线,#genre#
CCTV-1综合,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv1
CCTV-2财经,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv2
CCTV-3综艺,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv3
CCTV-4国际,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv4
CCTV-5体育,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv5
CCTV-6电影,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv6
CCTV-7军事,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv7
CCTV-8电视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv8
CCTV-9纪录,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv9
CCTV-10科教,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv10
CCTV-11戏曲,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv11
CCTV-12社会,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv12
CCTV-13新闻,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv13
CCTV-14少儿,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv14
CCTV-15音乐,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv15
CCTV-5⁺体育,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv5plus
CCTV-17农业,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv17
CCTV-4K超清,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctv4k 
CGTN-国际台,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cctvnews
CGTN-纪录片,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=14
CGTN-法语台,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=68
CETV-1教育台,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=10001
